German,English
Hallo!,Hello!
Tschüß!,Bye!
nein,no
danke,thank you
bitte,please
Entschuldigung...,Sorry... / Excuse me...
eins,one
zwei,two
drei,three
vier,four
fünf,five
sechs,six
sieben,seven
acht,eight
neun,nine
zehn,ten
wie viel?,how much? / how many?
jemanden kennenlernen,to get to know someone
der Urlaub,the vacation
der Name,the name
guten Morgen,good morning
guten Abend,good evening
oben,up / above
unten,down / below
jung,young
zwölf,twelve
dreizehn,thirteen
vierzehn,fourteen
fünfzehn,fifteen
sechzehn,sixteen
siebzehn,seventeen
achtzehn,eighteen
neunzehn,nineteen
zwanzig,twenty
auf Wiedersehen,goodbye
das Geld,the money
fragen,to ask
schön,beautiful / nice
schlecht,bad
der Mann,the man
die Frau,the woman
das Kind,the child
treffen,to meet
der Freund,the friend (male)
das Wasser,the water
das Bier,the beer
das Frühstück,the breakfast
essen,to eat
trinken,to drink
groß,big / large / tall
größer,bigger
klein,small
kleiner,smaller
mehr,more
weniger,less
Willkommen!,Welcome!
null,zero
kommen aus,to come from
ich wurde geboren,I was born
sehen,to see
leben,to live
verbringen,to spend (time)
heißen,to be called
das Jahr,the year
die Ferien,the holidays
wie?,how?
warum?,why?
wie lang?,how long?
woher?,from where?
Bis bald!,See you soon!
gerne,gladly / with pleasure
in Ordnung,all right
selbstverständlich,of course / naturally
die Zeit,the time
die Uhr,the clock / watch
die Stunde,the hour
die Minute,the minute
die Sekunde,the second
ein Uhr,one o'clock
zwei Uhr,two o'clock
zehn nach fünf,ten past five
Viertel nach vier,a quarter past four
halb sieben,half past six
halb zwölf,half past eleven
eine halbe Stunde,half an hour
fünf vor zehn,five to ten
suchen,to look for / to search
reservieren,to reserve
ausgestattet sein mit,to be equipped with
können,can / to be able to
nicht können,cannot / to be unable to
sich bedanken,to thank
sagen,to say
etwas nehmen,to take something
das Zelt,the tent
zelten,to camp / to go camping
der Campingplatz,the campsite
die Anmeldung,the registration
die Nebensaison,the off-season
die Hauptsaison,the peak season
die Pension,the guesthouse / boarding house
das Hotel,the hotel
die Reservierung,the reservation
die Rezeption,the reception
die Halbpension,the half board
die Vollpension,the full board
das Zimmer,the room
das Einzelzimmer,the single room
das Doppelzimmer,the double room
ohne,without
das Badezimmer,the bathroom
der Fernseher,the television
der Fernsehsender,the TV channel
der Kanal,the channel
das Satellitenfernsehen,the satellite television
das Radio,the radio
das Bett,the bed
vollkommen ausgebucht,completely booked
es gibt,there is / there are
wunderbar,wonderful
ungefähr,approximately
hell,bright / light
dunkel,dark
der Schlüssel,the key
die Dame,the lady
der Tag,the day
oder,or
aber,but
hier,here
sogar,even
"jeder, jede, jedes","""each, every"""
das Essen,the food / meal
das Mittagessen,the lunch
das Abendessen,the dinner
heute,today
morgen,tomorrow
gestern,yesterday
der Sonnenaufgang,the sunrise
der Morgen,the morning
der Nachmittag,the afternoon
der Sonnenuntergang,the sunset
der Abend,the evening
die Nacht,the night
die Sommerferien,the summer holidays
die Sonnencreme,the sunscreen
die Sonne,the sun
die Sonnenbrille,the sunglasses
sonnig,sunny
das Meer,the sea
der Strand,the beach
das Souvenir,the souvenir
die Idee,the idea
die Toilette,the toilet
(ein Zimmer) buchen,to book (a room)
liegen,to lie
wohnen,to live / to reside
wissen,to know
"spielen, ein Instrument spielen","""to play, to play an instrument"""
dann,then
auch,also / too
dort,there
dort drüben,over there
"nächster, nächste, nächstes","""next"""
zusammen,together
sie (Plural),they (plural)
mich,me
ihnen,them
schmecken,to taste good
probieren,to try / to taste
aufwachen,to wake up
aufstehen,to get up
gehen,to go
mittags,at noon
abends,in the evening
nachts,at night
mein,my
dein,your (singular informal)
"sein, ihr, sein","""his, her, its"""
unser,our
euer,your (plural informal)
ihr (Possessivpron.),her / their (possessive pronoun)
"dieser, diese, dieses","""this, these"""
"keiner, keine, kein","""none, no"""
das Restaurant,the restaurant
der Tisch,the table
der Stuhl,the chair
die Milch,the milk
die heiße Schokolade,the hot chocolate
der Apfelsaft,the apple juice
der Orangensaft,the orange juice
der Fruchtsaft,the fruit juice
die Ananas,the pineapple
die Traube,the grape
die Orange,the orange
die Kirsche,the cherry
die Erdbeere,the strawberry
die Birne,the pear
der Apfel,the apple
die Zitrone,the lemon
der Pfirsich,the peach
die Banane,the banana
das Obst,the fruit
der Toast,the toast
das Brötchen,the bread roll
der Pfannkuchen,the pancake
die Butter,the butter
der Honig,the honey
die Marmelade,the jam / marmalade
das Ei,the egg
das gekochte Ei,the boiled egg
das Spiegelei,the fried egg
das Rührei,the scrambled egg
Eier mit Schinken,eggs with ham
der Schinken,the ham
das Würstchen,the small sausage
die Wurst,the sausage
das Fleisch,the meat
der Speck,the bacon
der Käse,the cheese
das Müsli,the muesli / cereal
die Nuss,the nut
der Joghurt,the yogurt
der Keks,the cookie / biscuit
der Kuchen,the cake
die Süßigkeit,the candy / sweets
sehr gut,very good
leider,unfortunately
Wie schade!,What a pity!
Das stimmt!,That's right!
vielleicht,maybe / perhaps
möglich sein,to be possible
doch,yes (in response to a negative question) / after all
direkt,directly
gegenüber,opposite
nahe bei,near to
einundzwanzig,twenty-one
einundzwanzig,twenty-one
zweiundzwanzig,twenty-two
dreiundzwanzig,twenty-three
dreiundzwanzig,twenty-three
vierundzwanzig,twenty-four
vierundzwanzig,twenty-four
fünfundzwanzig,twenty-five
fünfundzwanzig,twenty-five
sechsundzwanzig,twenty-six
sechsundzwanzig,twenty-six
dreißig,thirty
vierzig,forty
fünfzig,fifty
sechzig,sixty
siebzig,seventy
achtzig,eighty
neunzig,ninety
einhundert,one hundred
eintausend,one thousand
eine Million,one million
eine Milliarde,one billion
einsteigen,to get on
aussteigen aus,to get off
vorbeifahren an,to drive past
mit dem Bus fahren,to go by bus
fahren,to drive / to go
fahren nach,to go to
zurückfahren,to drive back / go back
mögen,to like
finden,to find
der Fahrplan,the schedule / timetable
die Einzelfahrkarte,the single ticket
die Fahrkarte,the ticket
die Rückfahrkarte,the return ticket
erster Klasse,first class
zweiter Klasse,second class
der Fahrkartenautomat,the ticket machine
der Bus,the bus
die Linie,the line
der Busbahnhof,the bus station
die Haltestelle,the (bus) stop
der Zug,the train
der Bahnhof,the train station
das Taxi,the taxi
der Fahrer,the driver
der Fahrgast,the passenger
der Sitz,the seat
die Stadt,the city / town
die Information,the information
die Warteschlange,the queue
das Kleingeld,the small change
das Wechselgeld,the change (money)
preiswert,inexpensive
einfach,easy / simple
links,left
links abbiegen,to turn left
auf der linken Seite,on the left side
rechts,right
rechts abbiegen,to turn right
auf der rechten Seite,on the right side
geradeaus,straight ahead
diese hier,this one here
diese dort,that one there
abbiegen,to turn
die Kreuzung,the intersection / crossroads
um die Ecke,around the corner
einem Hinweis folgen,to follow a sign
in der Nähe von,near
die Richtung,the direction
irgendwo,somewhere
der Weg,the way / path
ein Meter,a meter
weit,far
"nach, hinter","""after, behind"""
durch,through
sprechen,to speak
jemanden ansprechen,to speak to someone / to approach someone
erklären,to explain
merken,to notice / to remember
sich ansehen,to look at
spazierengehen,to go for a walk
"sich verirren, sich verlaufen","""to get lost"""
nachsehen,to check / to look up
machen,to do / to make
vergessen,to forget
denken,to think
sich umsehen,to look around
verlieren,to lose
bemerken,to notice
die Straße,the street
das Stadtzentrum,the city center
die Hauptstrasse,the main street
der Markt,the market
die Wechselstube,the currency exchange office
der Stadtplan,the city map
der Plan,the plan / map
die Tasche,the bag
die Handtasche,the handbag
die Hosentasche,the pocket
der Spaziergang,the walk
Entschuldigen Sie ...,Excuse me ...
aber,but
niemand,nobody
jemand,somebody
drinnen,inside
draußen,outside
arbeiten,to work
verlassen,to leave
Geld abheben,to withdraw money
tauschen,to exchange
Geld umtauschen,to exchange money
zahlen,to pay
hinein stecken in,to insert into
die Währung,the currency
der Geldschein,the banknote
die Münze,the coin
das Bargeld,the cash
der Geldautomat,the ATM
das Bankkonto,the bank account
das Portemonnaie,the wallet / purse
der Wechselkurs,the exchange rate
die Gebühr,the fee
die Quittung,the receipt
die Unterschrift,the signature
die Geheimzahl,the PIN
der Scheck,the check
die Kreditkarte,the credit card
der Reisescheck,the traveler's check
der Rest,the rest / the change
das Büro,the office
der Schalter,the counter / desk
das Café,the café
die Kellnerin,the waitress
das Getränk,the drink
der Kaffee,the coffee
der Schwarztee,the black tea
der Tee,the tea
die Teekanne,the teapot
die Tasse,the cup
das Glas,the glass
das Messer,the knife
die Gabel,the fork
der Löffel,the spoon
der Teller,the plate
der Salat,the salad
der Kopfsalat,the lettuce
das Brot,the bread
die Salatsoße,the salad dressing
der Kuchen,the cake
der Apfelkuchen,the apple pie
der Snack,the snack
das Sandwich,the sandwich
die Leute,the people
durstig,thirsty
hungrig,hungry
bestellen,to order
herein kommen,to come in
ein bisschen,a little bit
gemischt,mixed
frei,free / available
die Stadtbesichtigung,the sightseeing tour
die Fahrt,the trip / ride
die Rundfahrt,the tour
die Besichtigung,the visit / tour
der Hauptbahnhof,the main train station
die Sehenswürdigkeit,the sight / tourist attraction
das Bauwerk,the monument / building
die Kathedrale,the cathedral
das Denkmal,the monument
die (Stadt)Mauer,the (city) wall
die Kirche,the church
das Schloss,the castle / palace
der Turm,the tower
der Park,the park
der Platz,the square
die Altstadt,the old town
die Innenstadt,the city center
der Bahnhof,the train station
die Führung,the guided tour
der Fremdenführer,the tour guide
die Gruppe,the group
der Preis,the price
die Ermäßigung,the discount / reduction
die Erwachsenen,the adults
das Plakat,the poster
die Straßenseite,the side of the street
der Bürgersteig,the sidewalk
der Bürger,the citizen
die Bäckerei,the bakery
der Wald,the forest
der See,the lake
das Beispiel,the example
zum Beispiel,for example
der Fußmarsch,the walk / hike
beginnen,to begin
besichtigen,to visit / to view
zeigen,to show
hängen,to hang
antik,antique
